||           KATA||           FILE  1||           FILE  2||           FILE  3||           FILE  4||           FILE  5||           FILE  6||           FILE  7||           FILE  8||           FILE  9||           FILE 10||           FILE 11||           FILE 12||
||        england||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 8||                13||                10||                10||
||         econom||                 0||                 0||                 0||                 0||                 0||                 3||                 0||                 0||                 0||                 1||                 0||                 0||
||           drip||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||           drag||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||          donat||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||          doesn||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           dive||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          dolok||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||          doubt||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           done||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          drawn||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||           draw||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||
||           drew||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||        earlier||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||            dug||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||           drum||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||          earli||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||          earth||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||        earpiec||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||         easili||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||        emphasi||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||          elbow||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||          eight||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||
||        economi||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||         effort||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||             el||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||      embellish||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 2||
||            els||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 0||                 0||
||          emerg||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 0||                 0||
||           emot||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          endem||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||      encompass||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||          empti||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 0||                 0||
||            end||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 3||                 3||
||          engag||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||             ey||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 0||                 0||                 0||
||          everi||                 0||                 0||                 0||                 0||                 0||                 2||                 0||                 0||                 1||                 1||                 0||                 0||
||          escap||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||         episod||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||        english||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 4||                 4||
||        enthral||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           eric||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          equal||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 2||
||           even||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||      establish||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 1||                 0||                 0||
||       european||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           ever||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||         expand||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||        everyth||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 5||                 0||                 0||
||      everybodi||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||        exhaust||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||        exorcis||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          extra||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||         export||                 0||                 0||                 0||                 0||                 0||                 2||                 0||                 0||                 0||                 0||                 0||                 0||
||         expect||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 2||
||         extrem||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||  extraordinari||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 2||
||            fan||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||           fair||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||           face||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||           fail||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           fall||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 3||                 3||
||         falcao||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 0||                 0||
||           fake||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          famou||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           feel||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 0||                 0||
||            fat||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||            far||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||         featur||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||           felt||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||           feet||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           game||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 7||                 0||                 0||
||           focu||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 1||                 0||                 0||                 0||
||          first||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 1||                 0||                 3||                 3||
||         finger||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||          fight||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 0||                 0||
||          fifth||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          field||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          final||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 2||                 2||                 2||
||         finish||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 1||                 0||                 0||                 0||
||     fingernail||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||           firm||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||           five||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 1||                 1||                 1||
||        fisheri||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||            fit||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||          floor||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||          found||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||        footbal||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 7||                 0||                 0||
||         follow||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 2||                 2||
||          focus||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||           foot||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||         fought||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||          forev||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||        foreign||                 0||                 0||                 0||                 0||                 0||                 4||                 0||                 0||                 0||                 0||                 0||                 0||
||       fortitud||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           foul||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 0||                 0||                 0||
||          frill||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||           free||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 0||                 0||                 0||
||           frai||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           four||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||          franc||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||       frequent||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||         french||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||         fridai||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||           full||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 0||                 0||
||          front||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 2||
||        furious||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||          fulli||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||             ga||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||         govern||                 0||                 0||                 0||                 0||                 2||                 1||                 2||                 2||                 0||                 0||                 0||                 0||
||          gener||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 2||                 2||
||           gave||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||         gather||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 0||                 0||
||         gareth||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 1||
||         geiger||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 5||                 1||                 4||                 4||
||        gazprom||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||           goal||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 4||                 4||
||         glamor||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||        germani||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||        geophys||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||         gestur||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          glanc||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||             go||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 0||                 0||
||           good||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 0||                 0||
||       goalkeep||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 3||
||            got||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||     harbormast||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||            had||                 0||                 0||                 0||                 0||                 1||                 1||                 1||                 1||                 2||                 8||                 7||                 7||
||        greater||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||         grappl||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||     grandstand||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||          great||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||         ground||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 1||
||       grievanc||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||          group||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 2||
||          handi||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||           half||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 4||                 3||                 3||
||           hand||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 2||
||         happen||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 0||                 0||
||             he||                 0||                 0||                 0||                 0||                 3||                 3||                 3||                 3||                 4||                 1||                 5||                 5||
||          harri||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 1||                 1||
||          haunt||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           hear||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||           head||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 2||                 3||                 3||
||    heartbroken||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||          heart||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||      republika||                 0||                 0||                 0||                 0||                 1||                 1||                 1||                 1||                 0||                 0||                 0||                 0||
||         minist||                 0||                 0||                 0||                 0||                 3||                 4||                 3||                 3||                 0||                 0||                 0||                 0||
||          karya||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||     indonesian||                 0||                 0||                 0||                 0||                 1||                 2||                 1||                 1||                 0||                 0||                 0||                 0||
||           hope||                 0||                 0||                 0||                 0||                 1||                 1||                 1||                 1||                 0||                 0||                 1||                 1||
||         histor||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||      henderson||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 0||                 2||                 2||
||           help||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
||            hem||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||            him||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 2||                 2||
||           here||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||        himself||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||         hinder||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||            hoi||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||        histori||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 2||                 4||                 4||
||            hit||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||           home||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 1||
||         hollow||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||            hop||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||             id||                 0||                 0||                 0||                 0||                 1||                 1||                 1||                 1||                 0||                 0||                 0||                 0||
||            hub||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||           hour||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||                 1||
||         horrif||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||
||      hopefulli||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 1||
||         horror||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 3||                 0||                 0||
||          howev||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||                 0||                 0||                 0||
||           hurt||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 0||                 1||                 0||                 0||                 0||
||          hundr||                 0||                 0||                 0||                 0||                 1||                 0||                 1||                 1||                 0||                 0||                 0||                 0||
